Order Number,Order Time,用户ID,Delivery Date,订单投诉,Status,Total Price,Payment,Voucher Discount,Voucher,Coupon Discount,Coupon,Tax Price,Final Price,Refund,Customer Service,OS of App,,冷链包装费,支付宝手续费,会员券,配送费,到家/自提,班次,服务费
1599179142,7/13/2020 10:02,5206463129,7/16/2020,,已送达,162.42,余额支付,,,,,7.68,181.59,,,pc下单,,1.5,,0,9.99,到家,NY,0
1598918024,7/13/2020 10:08,55391715784,7/16/2020,,已送达,273.72,PayPal,,,,,1.33,283.54,,,pc下单,,1.5,,0,6.99,到家,NY,0
1597200552,7/13/2020 10:10,54460913754,7/18/2020,,已送达,70.38,信用卡支付,,,,,0.43,70.81,,,ios,2.3.1,,,0,0,自提,NY,0
1602047791,7/13/2020 10:11,55164673476,7/16/2020,,已送达,149.59,余额支付,,,,,0,160.86,2.39,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1602122906,7/13/2020 10:18,53264661647,7/16/2020,,已送达,149.23,PayPal,,,,,0,157.72,25.92,,pc下单,,1.5,,0,6.99,到家,NY,0
1604013323,7/13/2020 10:19,5834107067,7/15/2020,,已送达,207.76,信用卡支付,,,,,7.14,217.74,21.98,,ios,2.3.1,1.5,,5,6.99,到家,DC,0
1603127863,7/13/2020 10:23,54071679607,7/18/2020,,已送达,105.47,信用卡支付,,,,,4.19,110.14,,,ios,2.3.1,1.5,,0,0,自提,OT,0
1604431858,7/13/2020 10:23,52864647013,7/15/2020,,已送达,61.31,PayPal,3,6462470138,,,0,70.82,29.99,,ios,2.3.1,1.5,,0,9.99,到家,Boston,2
1597075444,7/13/2020 10:25,5768577688,7/15/2020,,已送达,126.31,信用卡支付,,,,,0,137.8,,,pc下单,,1.5,,0,9.99,到家,Boston,0
1603198239,7/13/2020 10:26,59820125855,7/16/2020,,已送达,95.95,信用卡支付,,,,,0.66,98.11,2.99,,pc下单,,1.5,,0,0,自提,NY,0
1602108135,7/13/2020 10:31,52192941975,7/16/2020,,已送达,37.06,信用卡支付,,,,,0,38.94,,,ios,2.3.1,,,0,0,自提,NY,2
1600207756,7/13/2020 10:37,53120216820,7/18/2020,,已送达,256.82,信用卡支付,,,,,8.69,273.88,,,ios,2.3.1,1.5,,0,6.99,到家,DC,0
1598634501,7/13/2020 10:41,55548435225,7/16/2020,,已送达,268.49,信用卡支付,,,,,0,279.38,,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1596835623,7/13/2020 10:41,53864638901,7/15/2020,,已送达,70.68,信用卡支付,,,,,3.23,73.79,,,ios,2.3.1,,,0,0,自提,Boston,0
1600133984,7/13/2020 10:43,52154121130,7/18/2020,,已送达,139.11,信用卡支付,,,,,0,148.95,3.79,,ios,2.3.1,,,0,9.99,到家,NY,0
1602810729,7/13/2020 10:47,59060860298,7/18/2020,,已送达,115.22,PayPal,,,,,1.1,116.7,,,ios,2.3.1,1.5,,0,0,自提,OT,0
1604128121,7/13/2020 10:48,58670387681,7/15/2020,,已送达,81.3,PayPal,,,,,2.03,84.83,4.19,,pc下单,,1.5,,0,0,自提,DC,0
1599092207,7/13/2020 10:50,59763143011,7/16/2020,,已送达,142.45,余额支付,,,,,7.13,159.69,,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1598112397,7/13/2020 10:51,57763079336,7/18/2020,,订单已取消【价格原因 || 价格原因】,107.36,PayPal,,,,,2.59,110.6,110.6,,ios,2.3.1,1.5,,0,0,自提,OT,0
1597408557,7/13/2020 10:53,5557812532,7/18/2020,,已送达,208.51,余额支付,,,,,0,219.22,7.38,,ios,2.3.1,1.5,,0,9.99,到家,Boston,0
1594730564,7/13/2020 10:57,54040141196,7/21/2020,,已送达,201.21,信用卡支付,,,,,5.46,208.17,,,pc下单,,1.5,,0,0,自提,NY,0
1594773912,7/13/2020 11:02,57091741393,7/16/2020,,订单已取消【其他原因（请在下方文字框输入） || 更改商品】,99.1,余额支付,,,,,0.64,111.03,111.03,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1598372371,7/13/2020 11:03,58561788172,7/18/2020,,已送达,67.37,PayPal,,,,,0,80.61,,,ios,2.3.1,1.5,,0,9.99,到家,Boston,2
1601667290,7/13/2020 11:04,53776537052,7/18/2020,FGG责任,已送达,70.17,信用卡支付,,,,,0,70.65,9.98,R-缺失商品,ios,2.3.1,1.5,,0,0,自提,OT,0
1603837119,7/13/2020 11:04,52260716809,7/24/2020,,订单已取消【价格原因 || 降价了】,76.18,余额支付,,,,,0,76.53,76.53,,ios,2.3.1,1.5,,0,0,自提,NY,0
1597115840,7/13/2020 11:09,53063132158,7/16/2020,,已送达,194.44,PayPal,,,,,7.79,203.03,,,IPAD,2.3.1,1.5,,0,0,自提,NY,0
1602661627,7/13/2020 11:11,54384553187,7/18/2020,,已送达,88.53,信用卡支付,,,,,0.81,90.84,8.08,,IPAD,2.3.1,1.5,,0,0,自提,NY,0
