Order Number,Order Time,Cust ID,Delivery Date,订单投诉,Status,Total Price,Payment,Voucher Discount,Voucher,Coupon Discount,Coupon,Tax Price,Final Price,Refund,Customer Service,OS of App,,冷链包装费,支付宝手续费,会员券,配送费,到家/自提,班次,服务费
1597471316,6/29/2020 7:37,56330175990,7/1/2020,,已送达,90.79,信用卡支付,,,,,0,99.28,2.38,,pc下单,,1.5,,0,6.99,到家,DC,0
1600646442,6/29/2020 7:43,54785715951,7/1/2020,,已送达,114.54,余额支付,,,,,3.23,123.24,6.99,,ios,2.2.4,1.5,,5,9.99,到家,Boston,0
1602044500,6/29/2020 7:47,56734724391,7/5/2020,,已送达,212.97,信用卡支付,,,,,1.02,224.73,9.57,,ios,2.2.4,1.5,,0,9.99,到家,NY,0
1596534200,6/29/2020 7:53,53186039658,7/4/2020,,已送达,72.8,信用卡支付,,,,,0,73,18.5,,IPAD,2.3.0,1.5,,0,0,自提,NY,0
1603348179,6/29/2020 7:54,53183131174,7/1/2020,,已送达,109.72,信用卡支付,,,,,0,117.46,,,ios,2.2.8,1.5,,0,6.99,到家,DC,0
1601116002,6/29/2020 7:59,55441513264,7/7/2020,,订单已取消【忘记输入优惠码 || 重新定】,92.06,信用卡支付,,,,,0,92.66,92.66,,android,2.3.0,1.5,,0,0,自提,NY,0
1596404454,6/29/2020 8:00,57593760880,7/4/2020,,已送达,73.59,信用卡支付,2,9377608805,,,0.36,75.89,15.99,,ios,2.3.0,,,5,9.99,到家,NY,0
1601962627,6/29/2020 8:10,5703016870,7/1/2020,,已送达,69.7,余额支付,4,1600152075,,,0,59.62,4.54,,ios,2.3.0,,,5,0,自提,DC,0
1596749906,6/29/2020 8:10,52030220081,7/2/2020,普通投诉,已送达,173.69,PayPal,,,,,0,184.4,16.75,R-缺失商品,ios,2.3.0,1.5,,0,9.99,到家,NY,0
1593800260,6/29/2020 8:12,54885713788,7/1/2020,,已送达,96.17,信用卡支付,,,,,1.27,108.76,,,ios,2.3.0,1.5,,0,9.99,到家,Boston,0
1595244446,6/29/2020 8:14,58461749180,7/1/2020,,已送达,122.56,信用卡支付,,,,,0,134.05,7.99,,pc下单,,1.5,,0,9.99,到家,Boston,0
1594813686,6/29/2020 8:15,58163133528,7/2/2020,,已送达,74.79,余额支付,,,,,0.37,75.54,3.31,,ios,2.3.0,1.5,,0,0,自提,NY,0
1600961548,6/29/2020 8:16,57324015796,7/5/2020,普通投诉,已送达,27.95,余额支付,,,,,0.84,29.69,4.69,R-质量问题,ios,2.3.0,,,0,0,自提,DC,2
1602731365,6/29/2020 8:22,57361784870,7/1/2020,FGG责任,已送达,130.04,信用卡支付,,,,,2.14,143.67,31.96,R-其他,pc下单,,1.5,,0,9.99,到家,Boston,0
1594631947,6/29/2020 8:24,52091482687,7/4/2020,,已送达,101.11,PayPal,,,,,0.63,103.24,,,pc下单,,1.5,,0,0,自提,NY,0
1603256319,6/29/2020 8:25,56561771569,7/1/2020,,已送达,140.88,PayPal,,,,,2.56,154.21,14.67,,ios,2.3.0,1.5,,0,9.99,到家,Boston,0
1602303627,6/29/2020 8:33,58691762020,7/2/2020,,已送达,46.43,信用卡支付,,,,,0.84,49.27,,,pc下单,,,,0,0,自提,NY,2
1596152596,6/29/2020 8:33,56620163169,7/2/2020,,已送达,30.32,PayPal,,,,,1.31,32.83,,,ios,2.2.7,,,0,0,自提,NY,2
1595173102,6/29/2020 8:37,52164676367,7/2/2020,,已送达,111.85,信用卡支付,,,,,0,123.34,14.18,,pc下单,,1.5,,0,9.99,到家,NY,0
1598156054,6/29/2020 8:39,56291728587,7/4/2020,,已送达,206.69,信用卡支付,,,,,2.64,220.6,35.98,,IPAD,2.3.0,1.5,,0,9.99,到家,NY,0
1598232160,6/29/2020 8:46,54078175068,7/1/2020,,已送达,150.04,信用卡支付,,,,,3.95,164.88,,,ios,2.3.0,1.5,,0,9.99,到家,Boston,0
1602561910,6/29/2020 8:48,53434741973,7/4/2020,,已送达,81.55,信用卡支付,,,,,1.75,94.79,,,ios,2.3.0,1.5,,0,9.99,到家,NY,0
1597213527,6/29/2020 8:50,53848487786,7/11/2020,,已送达,84.54,信用卡支付,,,,,0,84.54,29.99,,pc下单,,,,0,0,自提,OT,0
1594685972,6/29/2020 8:50,57220214270,7/1/2020,,已送达,129.39,信用卡支付,,,,,3.56,141.3,17.21,,ios,2.3.0,1.5,,0,6.99,到家,DC,0
1594916002,6/29/2020 8:50,59870394253,7/1/2020,,已送达,75.56,PayPal,,,,,2.26,78.48,4.69,,IPAD,2.3.0,1.5,,0,0,自提,DC,0
1595049635,6/29/2020 8:53,58197396416,7/2/2020,,已送达,70.25,信用卡支付,,,,,0,71.51,,,ios,2.3.0,1.5,,0,0,自提,NY,0
1596001581,6/29/2020 8:53,53521261989,7/5/2020,,已送达,72.11,PayPal,,,,,0,83.45,11,,ios,2.2.8,1.5,,0,9.99,到家,NY,0
1594825113,6/29/2020 8:53,59561793044,7/19/2020,,备货中,386.6,信用卡支付,2,补发盒装黄冰糖[回馈赠礼]代金券,,,0,384.98,,,ios,2.2.4,1.5,,0,0,自提,Boston,0
1602181403,6/29/2020 8:55,57431760892,7/1/2020,,已送达,162.06,PayPal,,,,,0,172.67,9.27,,ios,2.3.0,1.5,,0,9.99,到家,Boston,0
1597232625,6/29/2020 9:03,55784598220,7/19/2020,,已送达,61.78,支付宝/微信,,,,,0,64.78,8.74,,ios,2.3.0,1.5,1.5,0,0,自提,NY,0
1594024212,6/29/2020 9:06,56391770442,7/2/2020,,已送达,121.19,PayPal,,,,,0,131.33,,,IPAD,2.3.0,1.5,,0,9.99,到家,NY,0
1594309212,6/29/2020 9:18,52964662669,7/1/2020,,已送达,41.06,信用卡支付,,,,,0,52.92,,,ios,2.3.0,,,0,9.99,到家,Boston,2
1601351707,6/29/2020 9:24,59395929121,7/2/2020,,已送达,71.96,支付宝/微信,,,,,2.77,77.59,,,ios,2.3.0,1.5,1.5,0,0,自提,NY,0
1600427534,6/29/2020 9:25,52721018763,7/2/2020,,已送达,141.67,信用卡支付,,,,,1.71,154.69,3.99,,ios,2.3.0,1.5,,0,9.99,到家,NY,0
1594865840,6/29/2020 9:26,53991419439,7/1/2020,普通投诉,已送达,95.62,PayPal,,,,,0,106.88,27.49,R-商品变质,ios,2.3.0,1.5,,0,9.99,到家,Boston,0
1601405463,6/29/2020 9:27,56160797351,7/2/2020,,已送达,132.29,余额支付,,,,,3.49,146.99,3.99,,ios,2.3.0,1.5,,0,9.99,到家,NY,0
1597649636,6/29/2020 9:27,57431444946,7/5/2020,,已送达,117.67,信用卡支付,,,,,0,129.16,32.16,,pc下单,,1.5,,0,9.99,到家,NY,0
1603014879,6/29/2020 9:28,56891735319,7/2/2020,,已送达,187.91,信用卡支付,,,,,1.01,200.21,,,ios,2.2.4,1.5,,0,9.99,到家,NY,0
1597892794,6/29/2020 9:30,53624051862,7/1/2020,,已送达,110.11,PayPal,,,,,2.75,113.32,14.61,,ios,2.3.0,1.5,,0,0,自提,DC,0
1599719796,6/29/2020 9:36,56120390750,7/1/2020,,已送达,198.54,信用卡支付,,,,,0,210.03,27.07,,pc下单,,1.5,,0,9.99,到家,Boston,0
1596223443,6/29/2020 9:36,58652078313,7/4/2020,,订单已取消【订单重复 || 重复】,73.23,信用卡支付,,,,,0,82.98,82.98,,ios,2.2.4,,,0,9.99,到家,Boston,0
1594142531,6/29/2020 9:44,58361793758,7/1/2020,,已送达,131.22,余额支付,,,,,0,144.06,6.28,,ios,2.3.0,1.5,1.5,0,9.99,到家,Boston,0
1600732228,6/29/2020 9:52,5506174242,7/11/2020,,订单已取消【需要修改自提点和或时间 || chose a wrong deliver date】,96.3,PayPal,,,,,0,97.8,97.8,,pc下单,,1.5,,0,0,自提,Boston,0
1596313799,6/29/2020 9:58,55561710118,7/1/2020,,已送达,80.7,PayPal,,,,,0.22,81.77,4.58,,ios,2.3.0,1.5,,0,0,自提,Boston,0
1594127405,6/29/2020 9:58,52434751758,7/5/2020,,已送达,77.92,余额支付,,,,,0,79.18,1.99,,ios,2.3.0,1.5,,0,0,自提,NY,0
1595599982,6/29/2020 9:58,55373447611,7/4/2020,,已送达,69.99,余额支付,,,,,0,70.77,,,ios,2.3.0,1.5,,0,0,自提,OT,0
1602567785,6/29/2020 9:59,59970392486,7/1/2020,,已送达,177.87,信用卡支付,,,,,4.45,183.68,,,ios,2.2.7,1.5,,0,0,自提,DC,0
1594236306,6/29/2020 10:00,59695999126,7/2/2020,,已送达,36.4,信用卡支付,5,新FAF【邀请有礼】【被邀请人】满$25减$5 活动至20201231结束,,,1.39,32.79,,,ios,2.2.8,,,0,0,自提,NY,0
1599669750,6/29/2020 10:09,56221793894,7/1/2020,FGG责任,已送达,170.21,信用卡支付,,,,,8.23,179.94,8.23,R-缺失商品,pc下单,,1.5,,0,0,自提,Boston,0
1598408363,6/29/2020 10:10,54778193207,7/5/2020,,已送达,29.49,PayPal,,,,,0,31.49,,,ios,2.3.0,,,0,0,自提,Boston,2
1596692576,6/29/2020 10:11,56397332289,7/5/2020,,已送达,75.93,PayPal,,,,,1.31,78.57,1.59,,ios,2.2.4,1.5,,0,0,自提,NY,0
1601765381,6/29/2020 10:14,53061772219,7/1/2020,,已送达,99.7,信用卡支付,,,,,2.33,112.22,12.36,,ios,2.3.0,1.5,,0,9.99,到家,Boston,0
1593795555,6/29/2020 10:14,58591747500,7/2/2020,FGG责任,已送达,71.13,信用卡支付,,,,,0,71.55,11.48,R-商品不符,ios,2.3.0,1.5,,0,0,自提,NY,0
1599376073,6/29/2020 10:15,58631252034,7/2/2020,,已送达,87.06,PayPal,,,,,0,98.36,,,ios,2.2.4,1.5,,0,9.99,到家,NY,0
1595910083,6/29/2020 10:17,59241034943,7/11/2020,,已送达,70.43,信用卡支付,5,新FAF【邀请有礼】【邀请人】满$5减$5 活动至20201231结束,,,1.88,68.53,5.99,,ios,2.3.0,1.5,,0,0,自提,OT,0
1594578390,6/29/2020 10:20,52591738979,7/2/2020,,已送达,157.39,信用卡支付,,,,,1.22,169.87,11.57,,IPAD,2.2.4,1.5,,0,9.99,到家,NY,0
1600318903,6/29/2020 10:21,52897838800,7/4/2020,,已送达,70.75,余额支付,,,,,0.87,68.12,2,,pc下单,,1.5,,5,0,自提,Boston,0
1600251841,6/29/2020 10:22,58891760775,7/11/2020,,订单已取消【不能在规定时间内赶去自提点提货 || 周六临时有事】,71.04,信用卡支付,,,,,0,71.82,71.82,,ios,2.3.0,1.5,,0,0,自提,Boston,0
1599521339,6/29/2020 10:24,59031722850,7/4/2020,,已送达,78.66,信用卡支付,,,,,0.13,80.09,1.19,,ios,2.3.0,1.5,,0,0,自提,OT,0
1600507608,6/29/2020 10:25,53390874496,7/4/2020,,已送达,69.49,信用卡支付,,,,,0,70.76,,,ios,2.3.0,1.5,,0,0,自提,NY,0
1595295059,6/29/2020 10:25,57720327871,7/5/2020,,已送达,56.46,信用卡支付,,,,,0.3,60.26,5.05,,ios,2.3.0,1.5,,0,0,自提,NY,2
1601004963,6/29/2020 10:29,58161716388,7/1/2020,,已送达,69.81,PayPal,,,,,3.09,82.05,3.59,,ios,2.2.4,,,0,9.99,到家,Boston,0
1600426559,6/29/2020 10:32,56641238371,7/1/2020,,已送达,158.52,信用卡支付,,,,,1.49,168.27,,,ios,2.3.0,1.5,,0,6.99,到家,DC,0
1600814203,6/29/2020 10:36,57658566265,7/2/2020,,已送达,110.31,余额支付,,,,,2.17,123.7,,,ios,2.3.0,1.5,,0,9.99,到家,NY,0
